URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
104251,210,180,75,0,10,100,0,0,0,0,15,0,SUPP,15,10,89%,36%,0%,5%,48%,0%,0%,0%,0%,7%,0%,SUPP,6%,4%
104255,180,170,55,0,5,110,0,0,0,0,15,0,5,10,SUPP,95%,29%,0%,3%,60%,0%,0%,0%,0%,8%,0%,2%,4%,SUPP
137707,240,200,70,SUPP,10,120,0,0,0,0,10,0,0,20,15,86%,30%,SUPP,4%,51%,0%,0%,0%,0%,4%,0%,0%,8%,6%
104259,240,210,70,0,5,135,0,0,0,0,15,0,SUPP,15,5,91%,30%,0%,2%,58%,0%,0%,0%,0%,6%,0%,SUPP,7%,3%
136620,240,200,90,SUPP,10,95,0,0,0,SUPP,25,0,SUPP,25,10,85%,38%,SUPP,5%,40%,0%,0%,0%,SUPP,10%,0%,SUPP,11%,5%
136777,90,90,5,SUPP,0,85,0,0,0,0,SUPP,0,0,SUPP,0,99%,4%,SUPP,0%,93%,0%,0%,0%,0%,SUPP,0%,0%,SUPP,0%
136773,100,90,5,SUPP,0,90,0,0,0,0,0,0,0,0,SUPP,98%,3%,SUPP,0%,94%,0%,0%,0%,0%,0%,0%,0%,0%,SUPP
137974,260,240,120,0,10,110,SUPP,0,0,0,15,0,SUPP,15,5,92%,46%,0%,3%,42%,SUPP,0%,0%,0%,5%,0%,SUPP,5%,2%
136885,250,240,90,0,15,125,SUPP,0,0,SUPP,15,0,SUPP,10,5,93%,36%,0%,6%,50%,SUPP,0%,0%,SUPP,6%,0%,SUPP,5%,2%
133697,160,160,35,0,5,120,SUPP,0,0,0,10,0,0,SUPP,5,96%,21%,0%,2%,73%,SUPP,0%,0%,0%,5%,0%,0%,SUPP,2%
135769,230,190,55,0,25,110,0,0,0,0,20,0,SUPP,25,10,85%,24%,0%,10%,49%,0%,0%,0%,0%,9%,0%,SUPP,10%,5%
135956,150,120,55,0,10,60,0,0,0,0,5,0,0,15,5,84%,37%,0%,6%,41%,0%,0%,0%,0%,5%,0%,0%,12%,4%
104269,20,10,SUPP,0,0,0,0,0,0,10,0,0,0,5,SUPP,69%,SUPP,0%,0%,0%,0%,0%,0%,56%,0%,0%,0%,19%,SUPP
104271,20,20,5,0,0,0,0,0,0,15,0,0,0,0,0,100%,21%,0%,0%,0%,0%,0%,0%,79%,0%,0%,0%,0%,0%
104272,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%
135461,10,3,5,0,0,0,0,0,0,0,0,0,0,5,SUPP,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,44%,SUPP
138098,170,140,65,0,5,65,0,0,0,0,15,0,SUPP,20,10,81%,39%,0%,2%,39%,0%,0%,0%,0%,8%,0%,SUPP,13%,6%
104386,240,230,70,0,10,145,SUPP,0,0,0,10,0,0,10,5,93%,29%,0%,5%,59%,SUPP,0%,0%,0%,5%,0%,0%,5%,2%
104387,120,90,60,0,10,10,SUPP,SUPP,0,0,15,0,0,25,10,70%,51%,0%,7%,10%,SUPP,SUPP,0%,0%,11%,0%,0%,22%,7%
140586,160,150,40,0,5,105,SUPP,0,0,0,5,0,0,10,SUPP,93%,26%,0%,2%,65%,SUPP,0%,0%,0%,3%,0%,0%,6%,SUPP
104390,150,140,50,0,5,80,SUPP,0,0,0,10,0,0,10,10,88%,31%,0%,4%,52%,SUPP,0%,0%,0%,6%,0%,0%,6%,5%
