RECTYPE,LEA,ESTAB,URN,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE
1,210,6907,131747,AC,167,51.1,0.2,0.03,0.38,0.69,0.38,0.61
1,210,6906,134225,AC,156,45.6,0.16,-0.03,0.35,0.31,0.21,0.52
1,210,6913,135816,AC,128,53.6,0.49,0.3,0.68,0.63,0.33,0.67
1,210,6908,132711,AC,146,58.3,0.95,0.76,1.13,0.87,0.42,0.8
1,210,6002,100863,IND,,NA,NA,NA,NA,NA,NA,NA
1,210,4265,136309,ACC,271,59.9,0.27,0.13,0.4,0.69,0.48,0.77
1,210,5404,100859,VA,118,49.7,0.21,0.01,0.42,0.52,0.39,0.64
1,210,5405,138960,ACC,128,57.4,0.81,0.62,1,0.64,0.48,0.79
1,210,5403,138961,ACC,121,56,0.05,-0.14,0.25,0.75,0.51,0.8
1,210,4680,100849,VA,128,55.6,0.16,-0.03,0.34,0.84,0.39,0.73
1,210,5402,100857,VA,140,56.5,0.92,0.73,1.11,0.69,0.51,0.81
1,210,4002,140221,AC,,,,,,,,
2,210,6391,131237,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,210,7007,100872,CYS,16,1.4,-1.55,-2.16,-0.95,0,0,0
2,210,7064,140138,ACCS,14,10.2,-3.17,-3.75,-2.59,0,0,0
2,210,6007,141701,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,210,7048,100873,CYS,15,0.5,-1.56,-2.12,-1,0,0,0
2,210,6005,141031,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
2,210,7174,100880,CYS,10,NE,NE,NE,NE,NE,NE,NE
4,210,,,,2396,52.8,0.23,0.18,0.27,0.577,0.356,0.686
1,211,6007,138980,IND,,NA,NA,NA,NA,NA,NA,NA
1,211,4284,137789,ACC,144,54.5,0.7,0.5,0.9,0.66,0.37,0.83
1,211,4298,133289,VA,113,49.5,-0.28,-0.48,-0.08,0.18,0.13,0.65
