LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Exclud",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Exclu1",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
343,2089,104888,10,10,3,9.1,4.6,1.3,23.2,38278
343,2090,104889,12,16,2,9.4,8.1,1.6,21.2,37075
343,2091,104890,10,15,2,9.1,8.4,2,23.1,34154
343,2092,104891,16,15,2,13.1,9.2,2,23.3,36728
343,2093,104892,25,24,6,21,20.8,5.3,18.9,37601
343,3000,104893,20,16,4,18.8,13.7,4,17.6,34406
343,3010,104894,9,18,3,7.5,5.3,1.4,22,36414
343,3020,104895,18,22,3,17.2,11.3,2.7,19,38200
343,3024,104897,21,34,8,16.4,16.9,3.9,26.1,38652
343,3025,104898,10,11,2,8.8,8.2,1.4,21.8,36948
343,3303,104900,13,13,4,10.4,7.6,2.5,20.1,35835
343,3304,104901,9,19,2,8.5,14.4,1,24.7,39599
343,3305,104902,12,10,5,9.6,6.4,2.1,22.1,39576
343,3307,104903,12,23,3,9,9.2,1.6,23.6,38173
343,3313,104905,25,29,5,22.6,17.6,3.5,19.4,36091
343,3316,104906,10,12,2,8.7,7.8,1.6,25.8,42147
343,3322,104910,11,21,4,10.4,13.8,1.8,19.8,37404
343,3336,104915,11,10,4,10.2,5.6,3.1,19.9,36614
343,3337,104916,30,52,5,29,39.5,5,19.2,35207
343,3338,104917,7,7,4,5.4,5.1,2.1,20.8,38750
343,3339,104918,19,16,2,17.4,10.9,1.9,19.6,35232
343,3341,104919,11,10,6,10.5,6,2.3,19.9,35682
343,3342,104920,11,11,2,9.4,7.4,1.6,18.4,36805
343,3343,104921,11,17,11,10.2,7.8,3.6,22.7,38439
343,3345,104922,12,9,3,11,5.1,2.5,18.8,37674
343,3351,104925,10,13,5,9.2,6.9,1.8,21.1,34745
343,3353,104926,35,32,29,28.5,20.2,9.4,23.5,37089
343,3354,104927,6,5,1,6,1.7,0.6,17.5,35320
343,3355,104928,15,10,3,14.2,7.8,2.9,23.2,38490
343,3357,104929,11,11,2,10.2,8,1.8,16.9,32801
343,3359,104930,14,8,2,12,5.8,1.1,20.9,39391
343,3361,104931,25,22,2,21.5,16.9,1.8,20.7,37909
343,3362,104932,19,25,7,15.8,12.1,2.8,23.3,38094
343,3364,104934,13,14,4,9.3,10.7,2,23.1,40735
343,3366,104935,8,6,1,7,5.5,1,18.5,35746
343,3367,104936,10,16,3,8.9,5.9,1.5,24.4,38707
343,3368,104937,19,24,2,17.1,15,2,24.3,38927
343,3369,104938,11,19,2,8.7,6.7,1.5,24.4,37212
343,3374,104940,23,20,6,19.7,14.1,3.9,22.4,36491
343,3375,104941,11,11,2,9.2,5.3,1,21.7,37705
343,3376,104942,14,22,2,12.3,16.3,1.8,18,32827
343,3378,134343,19,31,5,18.1,18,2.6,20.7,35809
343,3379,134785,15,11,3,14,8.9,2.8,15.9,36196
343,3380,134988,11,9,3,10.1,6.5,1.4,23.3,36051
343,3382,135085,10,14,4,10,8.8,1.5,21.8,36838
343,3383,132198,12,15,2,10.9,9.8,1.5,19.5,37559
343,3384,132208,17,14,3,17,11.5,3,16.6,35812
343,3385,134371,18,27,3,17,21.9,2,16.9,37541
344,2000,104988,26,18,6,20.6,12.2,5.2,18.2,35913
344,2001,131281,22,18,7,19,15.8,4.9,16.2,39579
344,2021,104990,18,18,5,16.5,13.7,4.1,19.3,35093
344,2048,104991,29,28,7,26.7,20.3,4.6,18.3,34018
344,2100,104992,33,30,9,30,24.3,6.9,19.4,33613
344,2101,104993,19,19,4,17.1,11.4,2.9,18.9,38758
344,2102,104994,40,44,10,36.5,29.6,6.7,18.7,33795
344,2104,104995,39,26,31,35.1,21.2,16.2,24.5,36421
344,2107,104996,16,7,3,12.9,6,2.5,14.2,35553
344,2108,104997,6,6,3,6,5.3,1.6,19,28943
344,2110,104999,25,17,11,21.7,13.4,5.5,19.3,34939
344,2111,105000,34,29,4,30.2,27.9,3.9,16.4,33461
344,2112,105001,14,19,12,14,13.8,8.6,15.5,34304
344,2115,105002,13,7,3,12,4.9,1.6,11.5,33527
344,2116,105003,12,7,3,9,5.1,2.5,15.1,33583
344,2117,105004,15,16,2,14.6,12.4,2,22.5,36427
344,2118,105005,25,14,4,23.2,12.1,2.9,14.7,33838
344,2200,105006,17,12,3,13.7,7.8,1.8,21.7,34947
344,2201,105007,14,12,2,13.4,9.5,1.6,19.3,34973
344,2203,105009,16,10,2,13.7,8,2,25.5,37984
344,2204,105010,14,13,2,11.7,9.3,2,23.2,37468
344,2205,105011,20,31,8,19,22,4.6,16,37354
344,2210,105013,12,10,3,10.7,7.2,1.4,22.5,37132
344,2212,105015,11,7,2,9.6,5.4,1,18.3,37903
344,2214,105017,12,8,4,10.1,6.4,3.6,18.5,36329
344,2215,105018,11,8,4,10.4,6.3,2.5,20.9,37795
344,2217,105020,23,14,4,18.8,11.7,3.5,22.1,36226
344,2218,105021,8,10,2,7.1,5.7,1.3,25.1,41347
344,2220,105022,11,7,6,8.8,5.2,4.6,22.1,36211
344,2221,105023,15,12,3,13,7.6,2.3,20.6,35472
344,2224,105025,13,10,3,9.8,4.7,1.9,22.2,36205
344,2225,105026,14,10,2,11.5,4.3,1.2,21.7,37975
344,2226,105027,10,13,2,7.8,7,1.3,22.6,38664
344,2227,105028,10,10,2,8.9,7.4,1.2,23.7,37123
344,2229,105030,15,11,2,14,5.5,2,21.3,37695
344,2231,105031,20,13,3,17.9,11,2.2,22.1,34051
344,2232,105032,10,3,4,8.2,3,3.8,23.4,38498
344,2234,105033,20,11,5,16.6,9,4.4,26,37059
344,2238,105034,10,8,4,9,4.5,3,23.9,41002
344,2244,105035,22,17,5,20,13.7,3.8,18,35417
344,2249,105037,11,11,3,9.6,8.6,1.7,16.2,40729
344,2250,105038,12,9,2,10.6,5.5,1.1,20.2,35754
344,2252,105039,18,18,3,14.3,16.7,2.1,16.2,36071
344,2254,105041,6,6,2,6,4.7,1.3,18.1,33914
344,2255,105042,29,23,6,26.6,18.5,4.6,16.1,38105
344,2256,105043,14,23,3,12.8,13.9,2.5,23,35062
344,2258,105045,17,16,4,16.6,14.2,2.8,18.9,34339
344,2260,105047,28,28,13,24,20.5,6.9,18.2,33373
344,2261,105048,13,11,3,12.2,10.3,2.1,16.4,34812
344,2263,105050,11,13,2,9.8,10.6,1.8,18.1,36722
344,2264,105051,8,9,2,8,6.9,1.2,25.1,39000
344,2266,105053,20,28,5,15.9,19.6,3.3,20.6,35485
344,2268,105055,7,6,2,7,5.3,1.1,22.4,38298
344,2270,105056,17,10,3,16.3,7.9,3,22.9,41041
344,2274,130324,16,17,2,13.5,13.9,1.8,22.4,36717
344,2275,105060,20,11,4,17.7,9.5,3.3,23.7,37679
344,2278,140931,20,18,16,16.9,15.3,8.9,25.1,35693
344,2279,131587,10,8,2,9.3,7.2,1.1,19,35333
344,3009,105062,18,18,6,15.5,9.6,4.6,27.5,36844
344,3010,105063,15,12,2,13.6,5.8,1.4,18.7,32292
344,3011,105064,17,10,4,17,8.8,3,13.4,29845
