LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
925,120684,9,8,2,9.0,5.3,0.8,21.1,31576
925,120685,4,5,3,3.6,2.7,1.0,17.2,SUPP
925,120686,8,10,4,6.7,5.9,1.9,16.5,40637
925,120687,14,9,5,13.5,7.2,2.3,21.5,31948
925,136793,32,14,4,29.4,10.5,4.0,21.2,33677
925,120689,6,10,7,5.0,4.8,1.7,21.2,37847
925,120690,9,12,3,7.6,7.8,1.9,23.6,37362
925,137451,21,13,7,19.4,8.9,5.4,21.0,32943
925,120692,6,7,1,6.0,4.2,1.0,22.3,34322
925,120693,17,14,5,15.4,8.3,2.6,20.7,33808
925,137551,22,27,6,17.7,16.6,3.7,19.3,34682
925,120695,10,10,2,9.0,5.2,1.4,23.2,37780
925,136477,11,4,2,8.8,3.2,2.0,18.0,34617
925,120696,52,3,13,50.1,2.3,12.5,13.5,35031
925,136315,46,12,16,40.0,10.3,13.1,14.3,39962
925,137166,62,9,24,58.9,5.9,16.5,17.4,36856
925,137213,52,6,18,47.6,3.9,16.7,17.3,39251
925,120701,57,4,22,48.1,3.6,17.3,18.7,41219
925,136350,44,1,19,39.6,0.5,13.7,16.2,43158
925,136537,0,NA,NA,0.0,NA,NA,NA,NA
925,137447,114,39,26,102.0,34.4,21.1,14.9,35114
925,120705,34,15,14,29.0,12.2,10.8,19.0,38443
925,120707,64,8,21,54.9,5.6,15.7,16.3,39755
925,136871,101,22,38,92.4,17.5,34.2,16.5,36312
925,137135,92,14,35,83.0,11.7,32.4,16.2,38765
925,136415,97,3,39,90.7,1.2,29.8,17.1,39861
925,120712,103,47,42,96.3,36.6,32.8,18.7,36317
925,120713,71,22,26,71.0,21.3,23.1,13.5,38069
925,136358,76,24,18,67.0,19.0,13.6,16.9,38308
925,120716,55,16,16,53.8,14.1,14.4,16.6,37348
925,120717,38,11,17,35.3,10.3,12.3,18.5,39587
925,136476,36,18,15,32.3,17.0,14.7,19.6,37290
925,136282,70,27,23,64.7,23.5,21.3,17.2,NA
925,120720,42,2,20,39.6,1.5,16.2,13.8,38413
925,135563,0,NA,NA,0.0,NA,NA,NA,NA
925,135564,0,NA,NA,0.0,NA,NA,NA,NA
925,135565,0,NA,NA,0.0,NA,NA,NA,NA
925,135666,58,56,30,56.4,52.0,26.5,18.6,35865
925,136044,158,51,48,146.7,43.4,43.1,16.5,36399
925,136194,0,NA,NA,0.0,NA,NA,NA,NA
925,136217,79,25,26,79.0,24.1,24.2,18.7,35566
925,120746,15,29,8,14.6,25.0,6.4,10.6,38033
925,120747,3,NA,1,3.0,NA,0.6,0.3,SUPP
925,120748,6,18,6,6.0,17.2,4.2,12.0,35926
925,120749,12,22,3,11.8,18.0,2.9,7.8,38834
925,120750,17,23,8,15.7,19.8,4.2,9.2,39200
925,120751,8,20,12,5.4,15.2,5.7,8.4,40715
925,120752,7,23,3,6.3,22.0,2.2,6.3,33865
925,120753,17,6,2,13.2,5.3,1.5,1.2,44421
925,120754,25,38,4,20.5,34.0,3.1,8.9,43314
925,120755,18,49,21,15.8,42.0,12.2,6.9,43555
925,120756,15,38,4,14.3,37.1,2.8,5.6,38503
925,120757,17,20,12,15.6,17.7,9.4,10.4,34427
925,120760,10,18,4,9.1,15.2,2.5,7.6,41215
925,120761,10,35,18,7.3,32.4,11.9,7.1,38458
925,120763,12,33,6,10.5,25.5,3.8,6.5,40106
