URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
118787,150,140,10,0,135,SUPP,SUPP,0,0,5,SUPP,97%,6%,0%,90%,SUPP,SUPP,0%,0%,2%,SUPP
135826,190,140,110,5,25,0,5,0,0,25,25,73%,58%,2%,13%,0%,4%,0%,0%,13%,14%
128340,100,70,15,SUPP,45,0,SUPP,0,SUPP,20,10,69%,17%,SUPP,49%,0%,SUPP,0%,SUPP,19%,13%
135195,160,140,35,5,90,0,5,0,SUPP,15,15,82%,23%,3%,55%,0%,3%,0%,SUPP,8%,10%
135290,180,160,60,10,90,0,10,0,0,10,5,89%,33%,6%,51%,0%,6%,0%,0%,7%,4%
135297,220,180,70,5,105,0,10,0,0,25,20,81%,31%,2%,48%,0%,4%,0%,0%,10%,9%
135305,60,40,40,SUPP,SUPP,0,5,0,0,15,5,68%,65%,SUPP,SUPP,0%,5%,0%,0%,22%,10%
135372,150,110,35,5,70,0,5,0,0,20,20,74%,24%,4%,46%,0%,3%,0%,0%,13%,14%
135371,270,220,75,5,135,SUPP,10,0,0,20,35,79%,27%,2%,49%,SUPP,4%,0%,0%,8%,13%
135630,180,150,60,5,85,0,5,0,0,15,15,83%,33%,3%,47%,0%,3%,0%,0%,9%,8%
135721,400,310,105,20,180,0,25,0,5,45,45,77%,26%,5%,45%,0%,6%,0%,2%,12%,11%
135888,70,50,45,SUPP,5,0,SUPP,0,0,15,5,72%,64%,SUPP,6%,0%,SUPP,0%,0%,21%,7%
