"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
136378,106366,"Wellacre Technology College","Parent","01-01-2011"
136379,118804,"Highworth Grammar School for Girls","Parent","01-01-2011"
136380,113314,"Oreston Community Primary School","Parent","01-01-2011"
136381,119811,"Lancaster Girls' Grammar School","Parent","01-01-2011"
136382,118934,"Chatham House Grammar School for Boys","Parent","01-01-2011"
136382,136385,"Clarendon House Grammar School","Parent - merged","01-12-2013"
136383,112049,"Bodmin College","Parent","01-01-2011"
136384,111885,"Newquay Junior School","Parent","01-01-2011"
136386,134512,"Whitburn Church of England School","Parent","01-01-2011"
136387,115216,"The Ockendon School","Parent","01-01-2011"
136388,113525,"Churston Ferrers Grammar School","Parent","01-01-2011"
136389,126497,"Lavington School","Parent","01-01-2011"
136390,119812,"Clitheroe Royal Grammar School","Parent","01-01-2011"
136391,126507,"South Wilts Grammar School for Girls","Parent","01-01-2011"
136392,108078,"Morley High School","Parent","01-01-2011"
136393,118537,"St Stephen's Junior School","Parent","01-01-2011"
136394,108272,"Wakefield City High School - A Specialist Maths and Computing College","Parent","01-01-2011"
136395,105158,"Lever Edge Primary School","Parent","01-01-2011"
136396,117529,"The Broxbourne School","Parent","01-01-2011"
136398,110898,"The King's School (the Cathedral School)","Parent","01-01-2011"
136399,116975,"John Kyrle High School and Sixth Form Centre","Parent","01-01-2011"
136400,114602,"The Grove","Parent","01-09-2011"
136400,114609,"Filsham Valley School","Parent","01-09-2011"
136401,114601,"Hillcrest School","Parent","01-09-2011"
136405,116953,"Wigmore High School","Parent","31-12-2010"
136406,103558,"Ninestiles School","Parent","01-01-2011"
136409,104716,"De La Salle Humanities College","Parent","01-01-2011"
136409,104695,"Croxteth Community Comprehensive School","Parent","01-01-2011"
136411,105094,"Rock Ferry High School","Parent","01-01-2011"
136411,105096,"Park High School","Parent","01-01-2011"
136412,115326,"Chelmsford County High School for Girls","Parent","01-01-2011"
136413,134215,"Hillyfield Primary School","Parent","01-01-2011"
136414,124442,"De Ferrers Specialist Technology College","Parent","01-01-2011"
136415,120711,"William Farr CofE Comprehensive School","Parent","01-01-2011"
136416,124860,"Debenham Church of England Voluntary Controlled High School","Parent","01-01-2011"
136417,118915,"Tonbridge Grammar School","Parent","01-01-2011"
136418,101352,"The Compton School","Parent","01-01-2011"
136419,110514,"Dr Challoner's Grammar School","Parent","01-01-2011"
136420,110104,"Slough Grammar School","Parent","01-01-2011"
