"Group UID","Group ID","Group Name","Companies House Number","Group Type (code)","Group Type","Closed Date","Group Status (code)","Group Status","Group Contact Street","Group Contact Locality","Group Contact Address 3","Group Contact Town","Group Contact County","Group Contact Postcode","Head of Group Title","Head of Group First Name","Head of Group Last Name"
"1158","","The Magnus Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1159","","The Malling Holmesdale Federation Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Mr","Patrick","Hannaway"
"1160","","The Medway Education and Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1161","","The Montacute Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1162","","The Nab Wood Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1163","","The PCS Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1164","","The Perins Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1165","","The Purbrook Park Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1166","","The Ralph Allen Innovation Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1167","","The Redcar and Marske Specialist Schools Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1168","","The Robinswood Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1169","","The Rochford District Schools Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1170","","The Saffron Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1171","","The Sale Grammar School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1172","","The Sandwell Excellence Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1173","","The School Partnership Trust (SPT)","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1174","","The Selly Oak School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1175","","The Smethwick Health and Wellbeing Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1176","","The Somer Valley Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1177","","The South Craven Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1178","","The St Christopher SEN Specialist Foundation Special School","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1179","","St Clere's Co-operative Academy Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1180","","The Stourbridge Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1181","","The Studley High School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1183","","Thornton Grammar and Queensbury School Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1184","","The Torquay Community College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1185","","The Towcester Learning Partnership","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1186","","The Upper Shirley Learning Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1187","","The Vale Co-operative Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1188","","The Westwood Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1189","","The Woodchurch High School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1190","","Thomas Clarkson Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1191","","Truro and Roseland Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1192","","Trust for Innovative Learning and Training","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1193","","Trust in Learning","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1194","","Upper Eden Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1195","","Violet Lane Trust School","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1196","","Voice Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1197","","W W Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1198","","Wakefield ASPIRE Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1199","","Walney Island Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1200","","Wednesbury Innovation Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1201","","West Oldham Co-operative Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1202","","Whitley Abbey Foundation","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1203","","Widewell School Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1204","","Wigmore Ascent Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1205","","Wolds and East Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1206","","Worth Primary School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1207","","Worthing High School Trust (WHST)","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1208","","Baxter College Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1214","","East Blackburn Learning Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1216","","The Leap Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1217","","Jarrow School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1219","","The Far Cotton Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1221","","The Federation of Monks' Dyke Technology College and Mablethorpe Tennyson High School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1222","","St Mabyn and St Tudy Church of England Voluntary Aided Primary Schools","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1227","","The Horsted Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
